,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción,Tipo puesto,lat,lon
3,Bodas.net,Data Analyst,Barcelona, 3 semanas,1097,Algo de responsabilidad,Internet,Jornada completa,Ingeniería Tecnología de la información,"WHAT WE DO MATTERS:

Here at Bodas.net (The Knot Worldwide), we believe in doing work that matters. In 16 countries around the world, our leading family of brands (The Knot, WeddingWire, Bodas, Hitched, The Bash, The Bump, and more) inspire, inform, and celebrate our communities as they move through life’s milestones. Our couples and business partners depend on us. They're all in. So are we.

ABOUT THE ROLE:

This Data Analyst will work with the Ads & Growth team at TKWW. They will help the team understand performance by developing analytical tools and performing ad-hoc analysis. They will assist with product testing, modeling, data investigations, and visualizations. They will be a valued partner and trusted advisor.

RESPONSIBILITIES:

Analyze TKWW user behavior and identify growth opportunities to drive acquisition and product engagement
Identify key trends and areas of opportunity for product and business teams
Help provide data and insights to drive up revenue mix by investigating and optimizing the funnel
Assist with setting up, conducting, and interpreting outcomes of A/B testing and other forms of experimentation
Create and manage reports and data assets in dashboarding tools like Metabase, Google Sheets, Google Data Studio, Excel and develop presentations to keep the team apprised of key trends
Communicate, collaborate and present results to clients within TKWW
Explore novel ways to look at our data
Assist with development of metrics and goals

SUCCESSFUL DATA ANALYST CANDIDATES HAVE:

Background working within a team in a data-driven environment
SQL and database experience
Experience with Google Analytics and BigQuery or other event tracking
Experience with financial modeling
2-3 years of hands-on web analytics or business intelligence
Commitment to timelines, accuracy, and professionalism
Ability to work in a fast paced environment and shift gears quickly
Excellent communication and project management skills
You have a Bachelor or Master's Degree
Proficiency with R or Python is a plus

WHAT WE LOVE ABOUT YOU:

You deeply understand our users and put them at the center of everything you do. You aim to serve and delight them every day.
You are respectful and act with the highest integrity. If you see something that isn’t right, you say something.
You ask questions to understand a perspective and are comfortable respectfully challenging assumptions. You are not turned off by constructive conflict to get to the right answer.
You set clear ambitious goals. You anticipate obstacles, persevere, and are accountable for your commitments.
You aren’t afraid to challenge the status quo and know that there’s no such thing as failure if you learn from it.
You seek out feedback and never settle in your quest to grow and develop. By being here, you make our company stronger.
Nivel de experiencia
Algo de responsabilidad
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
4,Zurich Insurance Company Ltd,Data Analyst - Pricing,Barcelona, 5 días,439,Intermedio,Seguros Servicios financieros,Jornada completa,Negocios,"¿Qué buscamos?

Buscamos un/a Data Analyst para integrarse en el equipo de pricing para participar en la transformación de los modelos de Pricing y aumentar la automatización, el desarrollo de nuevas herramientas y el análisis de grandes volúmenes de datos con un gran impacto en el negocio de líneas personales.

Tu día a día consistirá en:

Optimización del proceso de preparación, ejecución y análisis de grandes bases de datos.
Automatización de procesos internos de reporting y análisis.
Desarrollo e implementación de técnicas de machine learning para la mejora del pricing y la suscripción.
Construcción de modelos de riesgo, conversión, elasticidad al precio y detección de pocket of loss.
Construcción de herramientas para el análisis de rentabilidad del negocio tanto en nueva producción como en renovaciones.

¿Qué necesitamos?

Esperamos que la persona que se incorpore en el equipo reúna las siguientes habilidades y experiencias:

Licenciado/a en Data Science, Programación, Matemáticas, Ciencias Actuariales, Estadísticas o formaciones relacionadas
Experiencia demostrable en roles de Data Analyst o similares
Conocimientos avanzados de SAS, R y/o Python así como técnicas de Machine Learning.
Capacidad analítica, toma de decisiones fundamentadas y orientación a resultados.
Capacidad de comunicación.
Innovación y proactividad.
Persona con visión de negocio.
Nivel alto de Español, deseable nivel alto de inglés.
Ideal si tiene conocimientos de seguros y conocimientos de pricing

Por ser de Zurich

En Zurich queremos cuidar de ti y estos son algunos de tus beneficios:

Compensación flexible.
Tarjeta restaurante.
Bono oficina en casa.
Flexwork: 20 horas semanales para trabajar donde y cuando quieras.
Plan de pensiones
Seguro de vida.
Oferta bancaria y aseguradora.
Descuento en gimnasios.
Zurich Wellness, actividades deportivas.
Zurich Sports Club, inscripciones gratis en maratones y carreras populares.
Clases de inglés gratuitas.

Quienes somos

Nuestros cerca de 55.000 empleados en más de 215 países y territorios son la base de nuestro éxito. Son ellos quienes permiten que las empresas y las comunidades se puedan enfrentar a un mundo de riesgos con confianza. Imagina si pudieras ayudar a las personas a hacer esto en todo el mundo. Les darías confianza y tranquilidad protegiendo lo que más aman. Es un gran desafío, pero contarás con el apoyo de un gran equipo internacional que está dispuesto a ayudarte para que puedas alcanzar tu máximo potencial y así cumplir con nuestras promesas.

Nosotros ya nos hemos puesto en marcha y estamos cambiando la forma de hacer seguros. ¡Para ello necesitamos gente con talento, ganas de aprender y pasión! ¿Te unes a nosotros?

“ Zurich , 14 años consecutivos como Top Employer ”

Zurich Insurance tiene y aplica una política de igualdad de oportunidades de empleo. Nuestro objetivo es atraer y retener los mejores profesionales sin discriminar por discapacidad, raza, nacionalidad, religión, género, orientación sexual o edad.
Nivel de experiencia
Intermedio
Sector
Seguros Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Negocios",Data Analyst,41.38792,2.1699189999999997
5,Tech Data,Master Data Analyst,Barcelona, 1 semana,114,no_data,Equipos informáticos Software Servicios y tecnologías de la información,Jornada completa,Tecnología de la información,"Cultural Competency Requirements:

Within Tech Data diversity is one of our fundamental shared values. We are a multi-cultural environment and we pride ourselves on being a welcoming place of work where we celebrate inclusion and champion people from a multitude of backgrounds.

Join our team to connect the world with the power of technology!
Sector
Equipos informáticos Software Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
6,Popcarte,Data Analyst,Barcelona, 1 semana,609,Algo de responsabilidad,Internet,Jornada completa,Tecnología de la información Análisis Marketing,"Anunciado por
Benoit Martin
Founder & CEO at Popcarte
Enviar mensaje InMail
Data Analyst - Missions en français

En pleine phase de croissance, Popcarte met la Data au coeur de sa stratégie de développement. A la croisée de tous les métiers de la société (Produit, Marketing, Finance, IT, Opérations), la Data est aujourd’hui notre levier clé et fondamental pour la prise de décisions business et l'optimisation du travail des équipes.

Popcarte recherche un(e) Data Analyst pour structurer, rendre accessible et analyser nos Données et asseoir notre démarche “Data Centric”’. 

Au coeur de notre équipe, vous travaillerez avec l’ensemble de nos métiers afin de:


Structurer la donnée Popcarte

Conception et création d’un Datalake
Proposer des évolutions des bases : structure, collecte, harmonisation pour servir les besoins business
Enrichir les données collectées, qualitativement et quantitativement


Analyser et modéliser

Accompagner les équipes dans la définition et l’automatisation de leurs tableaux de bords métiers
Réalisation des analyses ad hoc en fonction des besoins des différents pôles (Marketing, Produit, Finance, Opérations, Service Client…) et émettre des recommandations en vue d’amélioration de l’expérience client interne et externe
Créer de nouveaux processus liés à la Donnée et fournir à nos équipes des rapports et alertes leur permettant de mieux réaliser leurs missions
Participer à l’élaboration de projets de développement stratégiques sous tendus par des analyses fines et poussées de données. Réalisation de modélisations associées
Benchmark des Best Practices Data


Structurer l’activité Data

Promouvoir et accompagner en interne notre démarche data driven auprès des équipes opérationnelles
Mettre en place des process de pilotage et de suivi de l’activité


Il s’agit donc d’un poste très complet car il est à la fois stratégique et opérationnel. C’est aussi un poste transverse qui vous amènera à vous coordonner avec toutes les équipes et qui vous demandera beaucoup de rigueur, de prise d’initiative et d’autonomie.


Nous vous proposons
Un contrat à durée indéterminée avec un démarrage dès que possible
Des bureaux bien placés et agréables à Barcelone, Espagne (Calle Comte de Salvatierra, en plein centre, avec une jolie terrasse et une table de ping-pong)
Une mission qui s’effectue en français
10 jours de télétravail par an (possibilité d'étendre ce nb de jours en fonction évolution Covid)
Une rémunération attractive à définir en fonction de ton expérience
Une mutuelle fournie
Un environnement de travail et une équipe résolument tournés vers l’amélioration continue
Une vie sociale de l’équipe développée avec notamment nos dejs d’équipe mensuels, nos drinks du vendredi et nos traditionnelles Summer & Winter Parties.

Envoyez-nous votre plus beau CV ainsi qu'une lettre de motivation.

Nous cherchons la perle rare. Si vous avez la bonne expérience et une furieuse envie d'écrire l'avenir de Popcarte avec nous, vous passerez 3 entretiens avec Carole notre Head of Marketing, Guillaume notre Head of Product et Benoit notre CEO. Nous vous demanderons aussi de travailler sur un cas pratique.

Un grand merci et à très bientôt !
Nivel de experiencia
Algo de responsabilidad
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Análisis Marketing",Data Analyst,41.38792,2.1699189999999997
7,Socialpoint,Game Data Analyst,Barcelona, 3 días,378,Sin experiencia,Software Internet Videojuegos,Jornada completa,Tecnología de la información,"Do you want to be part of a worldwide mobile games leader? We are an international team of more than 330 talented SocialPointers , based in sunny & cosmopolitan Barcelona . We create amazing games, positioned in the top rankings of both iOS & Android, that are played & loved by over 50 million fans all over the world.

In 2017 we were acquired by Take Two Interactive (GTA, Bioshock, Red Dead Redemption, NBA, XCom...) & we have been expanding our activities ever since, as well as creating exciting new opportunities for super talented people to join our teams!

Join the challenge & help us make this year the breakout year in mobile social gaming.

We are looking to welcome yet another brilliant Game Data Analyst in our Analytics team, where you will work to understand our gamers’ behaviour, work with the game teams to improve the product, drive retention & user conversion.

Applying quantitative analysis, statistics & programming, you’ll draw business insights that add real value to Socialpoint. To truly make an impact you’ll need to learn quickly & work well in a fast-paced environment while collaborating closely with our Game Teams & Heads of Product.
What will you do in Socialpoint?
Work with the Game Teams to provide insights into user behaviour and answer key business questions.
Perform hands-on research, data exploration and analysis .
Communicate, define and visualize analysis and results to senior stakeholders, including: Head of Analytics, VPs of Product, the CEOs and other C-level executives.
Acting as the liaison between product, game developers, data engineers and data scientists to ensure our data is precisely specified, understood and consistent.
Team up with other data scientists to lead projects on machine learning, behavioural segmentation and monetization.
What are we looking for?
2/3 years experience applying analytics to answer business questions and mine for insights that drive value, preferably in a mobile B2C business.
A Masters degree in a quantitative subject area (such as Statistics, Maths, or Social Sciences) from a leading university.
Strong analytical skills in applied statistics or econometrics and prior experience in empirical analysis.
Experience implementing data science models with Python, R or Matlab.
Excellent written and oral communication skills, experience presenting to business stakeholders.
A passion for turning data into actionable insights.
You are fluent in written and spoken English.
Solid skills visualizing findings with a front-end visualization tool like Tableau, Looker or Chartio.
And you are ...
A passionate gamer, this is a must!
Creative and innovative, always looking for better ways to achieve our goals.
A fast learner, highly meticulous, a consummate professional. You bring value into any conversation you have.
Pragmatic, you know how to balance short term and long term deliverables.
A team player, you establish effective relationships to work with others for the win
Able to operate sensitively in multi-cultural environments and build effective working relationships.
What's in it for you as a Socialpointer?
Due to the COVID-19 crisis, we are working remotely until further notice. However, this hasn’t stopped us from offering these great benefits!

You’ll get the newest & most powerful devices & equipment to work with , along with a Spotify Premium account.
An impressive 25 days annual leave, not including public holidays!
Private medical insurance , just in case!
Free Language Lessons.
People development is key for us: an amazing training budget just for you & our internal mobility program offers real growth opportunities!
Drop by our hairdresser ’s for a trim (& forget your wallet).
And whenever we go back to the office....
Monday breakfast + delicious daily lunch menus!
Want to stay in shape? We have a brand new gym, football & basketball teams along with a fantastic physiotherapist.
“An apple a day keeps the doctor away” so we get fresh fruit at the office every day!
Monthly events are there to get you to know your colleagues.
If you are new to sunny Barcelona you can also join our Newbies Club: we offer weekend activities once a month, Spanish lessons & help with all your boring paperwork!

The list just goes on & on... so get your game on & apply now!

Socialpoint is proud to be an equal opportunity employer. You’re welcome on the team no matter where you’re from, who you like, what you look like, or if you prefer Xbox over Playstation. It’s a trick question – mobile wins every time! We hire based on your qualifications and demonstrated ability to perform job responsibilities. Our games are for everyone, and so is our workplace.
Nivel de experiencia
Sin experiencia
Sector
Software Internet Videojuegos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
8,TravelPerk,Data Analyst,Barcelona, 3 meses,3265,Intermedio,Internet,Jornada completa,Tecnología de la información,"We are TravelPerk: a fast-growing, well-funded startup that has raised nearly $134m since our creation in early 2015. Backed by world-class investors from some of tech’s most disruptive companies, including Slack, Trello, Twitter, Farfetch, Deliveroo and Delivery Hero, our team is made up of A-players from across the travel industry.

Over the past few years, we’ve been named the fastest-growing SaaS startup in the world by SaaS1000 and featured as one of the hottest startups to watch by both Forbes and Wired. We’re revolutionizing the B2B corporate travel market—worth over $1.3 trillion—by simplifying the process for everyone involved.

In spite of the ongoing global pandemic, we’re continuously growing and adapting to the situation. We’re turning lemons into lemonade—because we’re innovators. We’ve even developed TravelCare, our very own travel risk management tool, to ensure business travelers are safe and sound before, during, and after their trips. Our team continues to emerge stronger and stronger as we adjust to the new normal—and that’s where you come in!

We are looking for a Data Analyst to join our team. You will be managing and analyzing all data being processed at TravelPerk in order to create useful insights for strategic purposes. This is an instrumental position to bring the business to the next level, as you will support Product owners, Marketing, and Management with visual data analysis to facilitate conversations and assist in data-driven decision making. Are you ready to take off with us? Keep reading!

What You Will Do
Develop quantitative analysis to drive product and business decisions and strategy
Query datasets from different sources, turn data into information, information into insight and insight into product and business decisions.
Use data to investigate and help resolve issues in our product or processes
Design and implement metrics, dashboards, and reports
Data modelling, design and implementation of ETL processes. Acquire data, consolidate and maintain it in a central database.
Apply visualization techniques to facilitate conversations and assist in decision making.
Support Product owners, Marketing, and Management with visual data analysis to facilitate conversations and assist in decision making.


What You Need
Data engineering or Bachelor’s degree in Statistics, Mathematics, Economics or similar.
3+ years of relevant experience interpreting data in a business intelligence, analytics, or data science/data scientist role, including relevant tools, techniques, and technology.
Excellent communication skills, both written and spoken, in English.
Excellent analytical skills.


You Will Need To Prove The Following
You are a Master in data analysis tools (SQL, Google Analytics, and excel)
Experience with statistical packages (Python, R)
Comfortable querying different type of databases (ie PostgreSQL, Elasticsearch)
Experience preparing, consolidating and normalizing data: ETL processes (i.e. Pentaho Data Integration).
Experience with different data visualization and BI tools (ie Tableau, Looker).
The desire to work in an international environment, with minimal direction, and with highly engaged individuals.


What do we offer?
Competitive compensation including equity in the company
Vacation days: 24 in Spain, 25 in the UK or Germany
Flexibility to work from home most of the time.
Health perks, these vary depending on your location
""Flexible compensation plan"" to help you diversify and increase the net salary.
Perks such as language lessons, yoga and office food have been put on hold during Covid-19 and will be reviewed


Flexible Work Policy
Until local governments and health professionals say it is safe to work from an office, TravelPerk will offer you 100% remote working from the country you are employed in.
Once it is safe, you will need to be based in or relocate to Spain, UK or Germany for this position.
You can be based anywhere in the country you are employed from but we will require you to travel to the office hub in your country in either Barcelona, London or Berlin twice per week.
In addition, every quarter you will be required to travel to an office hub location for up to 5 days to meet with your whole team and the rest of the company for an event.
We have core working hours.
Team members that want to go to the office more than once per week are welcome to!


We can help with relocation from anywhere in the world, English is the official language at the office. Please submit your resume in English if you choose to apply.

TravelPerk is a global company with a diverse customer base—and we want to make sure the people behind our product reflect that. We’re an equal opportunity employer, which means you’re welcome at TravelPerk regardless of how you look, where you’re from, or anything else that makes you, well, you.
Nivel de experiencia
Intermedio
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
9,Mur&Partners,Data Analyst,Barcelona, 1 semana,239,Sin experiencia,Servicios y tecnologías de la información Investigación de mercado Recursos humanos,Jornada completa,Tecnología de la información,"Data AnalystBarcelona / Farmacéutico / Full-time Te gustaría formar parte de una Multinacional en pleno proceso de transformación digital?Estamos buscando un/a Data Analyst con experiencia previa para su Headquarter en Barcelona, que se encargará de contribuir a la compañía a través del análisis de datos para la optimización del negocio digital.PUESTO DE TRABAJOLocalización. BarcelonaRESPONSABILIDADES:- Extracción de información para estudios y análisis (Matching diferentes BBDD, limpieza y depuración datos, selección indicadores para el análisis).- Análisis de datos y tratamiento estadístico de BBDD.- Aplicación de modelos de machine learning (clúster, predictivos, estadísticos, de relación).- Elaboración de informes y conclusiones estratégicas.QUE BUSCAMOS:- Grado en ingeniería, matemáticas, estadística o similar. - Experiencia mínima demostrable de 2 años en posición de analista digital.- Inglés avanzado. - Dominio avanzado de Google Analytics.- Experiencia en Google Tag Manager.- Dominio de lenguaje SQL.- Experiencia en creación y mantenimiento de dashboards/reports con Tableau, Data Studio o similares.- Capacidad de hacer QA de etiquetados mediante data layer.- Experiencia con algún lenguaje de programación orientada a datos. Deseable Python.QUE OFRECEMOS- Formar parte de una empresa dinámica, certificada como TOP EMPLOYEE.- Paquete retributivo competitivo y beneficios sociales.- Fecha prevista de incorporación. Febrero 20121- Jornada. CompletaPERSONA DE CONTACTONombre: Nerea MadridE-mail: **********
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Investigación de mercado Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
10,Conexus,Data Analyst,Barcelona, 1 semana,935,Intermedio,Dotación y selección de personal,Jornada completa,Tecnología de la información,"Conexus are currently working exclusively with a global client who are looking for a Data Science Lead to join their team in Barcelona on a permanent basis.
 We are searching for the following skills / experience:
At least 2-5 years of experience working as a Data Scientist / Data Analyst
Excellent experience working with Python or R
Excellent experience working with SQL
Experience working with AB Testing is highly desirable
Exposure to cloud systems (AWS preferred)
Fluency in English is mandatory
 If this position would be of interest to you or anyone else within your network, please follow the link to apply.
Nivel de experiencia
Intermedio
Sector
Dotación y selección de personal
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
11,Akuaro,Data Engineer/Analytics,Barcelona, 6 horas,1,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"Empresa startup ganadora de numerosos premios nacionales e internacionales, que lo está, literalmente petando, cuyo producto es un Marketplace que, a parte de serlo en un sector innovador, ha solucionado y ha tenido un impacto social muy positivo. El equilibrio perfecto entre una gran idea disruptiva y el bien que hace a su sector.
Actualmente buscan un Data Engineer para ser el owner del desarrollo del Data Lake, Data Warehouse, aportando los mejores métodos y de la mejor forma para la ingestión de datos. Desarrollar las herramientas y frameworks útiles para conectar el equipo de Data con el de IT, construyendo pipelines escalables y, al mismo tiempo, haciendo uso de diferentes tecnologías. (esto no parece decir mucho más que cualquier otra oferta, verdad? Pero ahora sigo)
Equipo: Estarás trabajando con otros 3 data analyst, la head de data, y en estrecha colaboración con el DevOps y el equipo IT.

El must de stack: Actualmente están migrando todo su data stack a Google Cloud (Bigquery, Composer). Pero, conocedores de que no es tan común el expertise de esta herramienta en el mercado (aunque cada vez se usa más), estarían buscando a alguien que venga de AWS (Redshift y demás) así como Airflow, y tampoco una excesiva seniority, porque la idea es que tenga los fundamentos y dentro de la empresa poder formarse y crecer. A destacar que como Benefit ellos tienen suscripción a una famosa plataforma de aprendizaje, así como tienen asignado tiempo semanal, en horario laboral, para formarse.
Softskills: Ambiente increíble, dicho por varios miembros del equipo, ya que los conocemos desde hace tiempo. Buscarían a alguien dinámico, que le mole el ecosistema startup, y no le de miedo lanzarse a la piscina a aprender cosas nuevas y últimas tecnologías.
Y esto no es todo, además de un paquete de benefits al que habría que añadir mucho team building, y clases de idiomas, se añade su política 100% remote friendly (aunque restringido por ahora a las personas en el mismo huso horario que España), por lo que, si así lo quieres, y más allá del COVID, puedes continuar trabajando desde tu casa, la cafetería o un lugar paradisíaco de la costa ?
Challengue + la leche de compañía + gran ambiente laboral + 100% remote + muchas más cosas.
Cuál es el salario máximo que ofrecen por esta ganga de oportunidad? 45.000 € bruto/anual
Si te ha interesado lo más mínimo, aplica y te contaré más.

Type: Permanent
Category: BI / Big Data
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
12,Walters People,Data Analyst,Barcelona, 1 mes,315,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"Start up en plena expansión Andorrana enfocada a la logística buscan a un Data Analyst para formar parte de su empresa.

Resposabilidades
Definir objetivos estratégicos y definir campañas de márketing.
Análisis e interpretación de datos de usuarios y métricas de marketing para crear campañas, medirlas y optimizarlas.
Reports mensuales y dashboard de visualización de datos.
Creación de campañas SEM, de email marketing y diseño.
Requisitos
Grado en estadística, ingeniería informática/económicas, marketing, matemáticas u otras licenciaturas similares que encajen con el perfil solicitado.
Conocimientos de plataformas de software CRM, Data Warehousing, Business Intelligence, Data visualization.
Técnicas de reporting y de visualización de datos.
Conocimiento en plataformas de anuncios SEM: Google Ads, Facebook Ads.
Se Valora

+Conocimientos base de datos SQL y lenguajes de base de datos.

+Conocimeintos de Software de Analítica (SPSS, R, SAS).
Desplazarse a vivir a Andorra.
Si te gustaría vivir saber más sobre esta oferta no dudes en inscribirte o en enviarme tu CV a meritxell.goikoetxea@walterspeople.com
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
